ID,use.,dispersule,seeds.per.disp,morphological.unit,chemical.unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,type,mega.comp,microbe.rob,notes,AI
CBG-21067,both,,1,achene,achene,Pterostegia drymarioides,,PTEDRY,PTDR,Polygonaceae,forb,native,2003,52,NA,NA,0.15361,564.6,33.86263,-117.00988,585,,21067,CBG,wild,,,,0.1362
CBG-24959,both,,1,achene + pappus,achene + pappus,Rafinesquia californica,,RAFCAL,RACA,Asteraceae,forb,native,2017,47.8,NA,NA,0.300091424,230,34.02532,-116.61025,893,,24959,CBG,wild,,,,0.099
MCL-EE-46,,,,,,Rigiopappus leptocladus,,RIGLEP,RILE2,Asteraceae,forb,native,2019,NA,NA,NA,NA,NA,38.87154,-122.42751,NA,,,MCL-EE,wild,,,have another acc,0.5647
MCL-ML-23,both,,1,achene + pappus,achene + pappus,Rigiopappus leptocladus,,RIGLEP,RILE2,Asteraceae,forb,native,2021,NA,NA,NA,0.19,NA,38.87135834,-122.4275268,659,,,MCL-ML,wild,,,,0.5647
SS-41,both,,1,nutlet,nutlet,Salvia carduacea,,SALCAR,SACA8,Lamiaceae,forb,native,2019,93,NA,NA,0.86,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
CBG-19939,,,,,,Salvia columbariae,,SALCOL,SACO6,Lamiaceae,forb,native,1998,51.5,NA,NA,0.528004584,600,33.96911,-116.65219,549,,19939,CBG,wild,,,,0.0869
DW-19,both,,1,nutlet,nutlet,Salvia columbariae,,SALCOL,SACO6,Lamiaceae,forb,native,2015,NA,NA,NA,0.37,NA,33.239771,-116.390937,213,,,DW,wild,,,,0.0652
SS-42,,,,,,Salvia columbariae,,SALCOL,SACO6,Lamiaceae,forb,native,2020,82,NA,NA,NA,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,x,,NA
DW-20,,,,,,Schismus barbatus,,SCHBAR,SCBA,Poaceae,grass,invasive,2015,NA,NA,NA,NA,NA,33.260299,-116.348083,NA,,,DW,wild,,,dont clean,0.0572
SD-21,both,,1,caryopsis,caryopsis,Schismus barbatus,,SCHBAR,SCBA,Poaceae,grass,invasive,2015,NA,NA,NA,NA,NA,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,wild,,,,0.1157
MD-8,,,,,,Schismus sp.,,SCHSP.,SCBA,Poaceae,grass,invasive,2021,NA,NA,NA,NA,NA,33.99061279,-116.6578569,681,Whitewater preserve,,MD,wild,,,arabicus or barbata? dont clean,0.0923
SAC-05,both,y,1,achene + pappus,achene,Senecio vulgaris,,SENVUL,SEVU,Asteraceae,forb,invasive,2021,NA,NA,NA,0.17,NA,38.55086923,-121.460053,11,Oak Park,,SAC,wild,,,,0.2556
CBG-21233,both,,1,seed,seed,Sesbania herbacea,,SESHER,SEHE8,Fabaceae,forb,native,2003,19.6,NA,NA,0.948911175,140,32.78338,-114.59923,43,,21233,CBG,wild,,,,0.0315
