"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Anagallis arvensis","ANAARV","Primulaceae","forb","invasive","no appendage","none","human","unassisted","MCL",3.7639,3.7639,280.03193518,0.505330016583748,0.0229850746268657,11.72332445,0.009227476,1.174336,31.5305685503771,0.812076126720362,0.0264,0,0.0264,0.0282341635432267,1.20970685311611,7,1,0,0,1,1,0.5527,0.19,0.15,0.66
"Ancistrocarphus filagineus","ANCFIL","Asteraceae","forb","native","no appendage","none","adhesive","adhesive","MCL",3.5959,3.5959,232.40888824,0.496955562559092,0.0572486605735897,3.4,0.074514625,1.9897243,79.4233512332048,0.999793708096957,0,0.0084,0.0084,0.0100293071877573,0.842587186509367,6,6,0,NA,NA,0,0.5647,NA,NA,NA
"Anisocoma acaulis","ANIACA","Asteraceae","forb","native","elongated appendage","hairs","unassisted","unassisted","CBG",9.6502,9.6502,194.29385868,0.53027428202646,0.0253694740238787,20,0.134011491,4.4624773,24.0129459567716,1,0,0.0628,0.0628,0.0629840456798812,0.774555724846652,1,1,0,NA,NA,1,0.1272,NA,NA,NA
"Anoda pentaschista","ANOPEN","Malvaceae","forb","native","no appendage","none","unassisted","unassisted","GRIN",54.3,49.8505,258.50210328,0.485167548500882,0.0342092886537331,75,0.007611201,2.75858205,32.3145735297746,0.921822166138116,0.0154,0.099,0.1144,0.0526845616411904,3.22962271333344,2,2,0,1,0,1,0.1884,NA,NA,NA
"Antirrhinum coulterianum","ANTCOU","Plantaginaceae","forb","native","no appendage","none","wind","wind","CBG/SS",1.3504,1.3504,136.77744092,0.59484762979684,0.0235214446952596,81,0.02802165,1.0857069,11.1538747664362,0.826181081228858,0.0822,0,0.0822,0.117400023097241,0.600046236975144,5,5,0,1,0,1,0.1572,NA,NA,NA
"Antirrhinum multiflorum","ANTMUL","Plantaginaceae","forb","native","no appendage","none","wind","wind","CBG",1.465,1.465,144.390825,0.611231527093596,0.0176724137931034,90,0.023294972,1.08127562,26.1630355064387,0.83608398861427,0.0818,0,0.0818,0.111872364409156,0.657856957630797,5,5,0,1,0,1,0.2113,NA,NA,NA
"Argemone munita","ARGMUN","Papaveraceae","forb","native","no appendage","none","animal","animal","CBG",29.41,29.41,245.56233782,0.549022004889976,0.0277750611246944,105,0.00191025,2.0074501,20.0469151763269,0.956948188348983,0.108,0,0.108,0.0592973657474696,2.84610593289507,6,6,0,0,0,0,0.0284,NA,NA,NA
"Aristida adscensionis","ARIADS","Poaceae","grass","native","elongated appendage","awn","adhesive","adhesive","CBG",9.3647,6.4933,176.13605706,0.403088803088803,0.0292307692307692,36.8666667,0.147301944,18.838125,52.5639649838493,0.5424531436335,0,0,0.0158,0.00451318810693811,0.217102940636577,6,6,0,0,1,0,0.1894,NA,NA,NA
"Astragalus didymocarpus","ASTDID","Fabaceae","forb","native","no appendage","none","wind","wind","CBG",11.47,12.1586,235.77040092,0.418877887788779,0.0527782778277828,21,0.060288096,2.0340389,115.391348570847,1,0.0194,0,0.0194,0.0239223637909622,1.23546260663997,5,5,0,0,0,1,0.1294,NA,NA,NA
"Astragalus didymocarpus","ASTDID","Fabaceae","forb","native","no appendage","none","wind","wind","CP",16.6444444444444,12.7213,210.18963508,0.353631809643081,0.0368691296180338,23.75,0.04838153,1.80581865,69.7043228485146,1,0.015,0,0.015,0.0180047412245161,1.38126397518953,5,5,0,0,0,1,0.2077,NA,NA,NA
"Astragalus gambelianus","ASTGAM","Fabaceae","forb","native","balloon structure","balloon","unassisted","unassisted","MCL",18.51,13.0888,233.82461204,0.429805877595039,0.0535211647344298,8.30333333333333,0.048422553,2.01852885,67.6963216203868,0.974991007368311,0.03,0,0.03,0.0317830154044754,1.13169890088742,1,1,0,0,0,1,0.5647,NA,NA,NA
"Athysanus pusillus","ATHPUS","Brassicaceae","forb","native","balloon structure","balloon","unassisted","unassisted","MCL",8.1267,3.8082,141.247947732,0.450639147802929,0.0253328894806924,16.6,0.081027416,2.74528775,147.402699419856,1,0.011,0.0316,0.0426,0.0471229914834264,0.658565191900518,1,1,0,1,1,0,0.5647,NA,NA,NA
"Atrichoseris platyphylla","ATRPLA","Asteraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",10.2651,10.2651,177.52268186,0.497110277136259,0.0207303695150115,100,0.085888468,3.5141453,254.574021425151,1,0,0.293,0.293,0.220393996768407,0.686815006557631,2,2,0,NA,0,0,0.0322,NA,NA,NA
"Atriplex elegans var. fasciculata","ATRELE","Chenopodiaceae","forb","native","flat appendage","","ant","ant","CBG",9.3992,9.3992,151.9064163,0.350516188149053,0.0214752596212584,29.385,0.08225322,2.7253461,74.0799028626845,2.6780989705155,0.0086,0.0174,0.026,0.0260761985636327,0.659903021103599,3,3,0,1,1,1,0.0282,NA,NA,NA
"Avena barbata","AVEBAR","Poaceae","grass","invasive","elongated appendage","hairs","human","adhesive","SFREC",128.11,76.91,179.79572516,0.43845549003089,0.0315641673687167,70,0.161832388,17.801163,55.7398746858751,0.23739629614958,0,0,0.048,0.0183899006037366,1.59329222852469,7,6,0,1,1,1,0.4725,0.11,0.17,0.73
"Avena fatua","AVEFAT","Poaceae","grass","invasive","elongated appendage","hairs","human","adhesive","MCL/SFREC",234.36,123.69,222.42233626,0.425810376861632,0.0177722674339734,66.00384,0.136734249,14.840948,53.9233688196959,0.342004432200919,0,0,0.0406,0.0126894351388587,2.47972423367284,7,6,0,1,1,1,0.5245,0.12,0.15,0.74
